fleet_size,mode,metric,n,mean,standard_deviation,ci95_half_width,ci95_low,ci95_high
200,distributed,tasks_active_end_per_robot,5,1.9,0.18943996410472644,0.23522078324985263,1.6647792167501474,2.1352207832498524
200,distributed,throughput_tps,5,2.5951111111111116,0.042241223794467965,0.05244940682565917,2.5426617042854525,2.6475605179367707
300,centralized,agent_work_fraction_final,5,0.5026293333333333,0.009110126133900762,0.01131171563955984,0.4913176176937734,0.513941048972893
300,centralized,arrival_completion_gap_tps,5,0.7804444444444446,0.055658792967220365,0.06910951941087452,0.7113349250335701,0.8495539638553191
300,centralized,average_completion_time_s,5,154.6122126789859,4.578972206647547,5.685544937769917,148.926667741216,160.29775761675583
300,centralized,completed_nominal_work_fraction,5,0.48436666666666667,0.013488369475630138,0.01674802277236056,0.46761864389430613,0.5011146894390273
300,centralized,completed_work_state_fraction,5,0.48544303703703706,0.01351834363002043,0.016785240600743583,0.46865779643629346,0.5022282776377807
300,centralized,completion_rate,5,0.8052646353713258,0.015184879173168745,0.018854517786397806,0.786410117584928,0.8241191531577235
300,centralized,full_active_fraction,5,0.9349237037037037,0.004313987045062377,0.005356522402571402,0.9295671813011323,0.9402802261062752
300,centralized,full_idle_fraction,5,0.06507629629629634,0.004313987045062377,0.005356522402571402,0.05971977389372494,0.07043281869886775
300,centralized,full_navigating_fraction,5,0.43253407407407407,0.006777309435346779,0.008415141130556792,0.42411893294351727,0.4409492152046309
300,centralized,full_working_fraction,5,0.5023896296296296,0.009146175150862794,0.011356476406092235,0.4910331532235374,0.5137461060357219
300,centralized,incomplete_task_work_fraction,5,0.017186296296296276,0.004935810015341458,0.006128617598023069,0.011057678698273208,0.023314913894319344
300,centralized,latency_p90_s,5,277.4240000000001,13.235597077578378,16.434164385960056,260.98983561404003,293.85816438596015
300,centralized,offered_work_fraction_nominal,5,0.6,0.0,0.0,0.6,0.6
300,centralized,offered_work_fraction_realized,5,0.6014333333333333,0.007191430084946025,0.008929339832076935,0.5925039935012564,0.6103626731654102
300,centralized,post_warmup_active_fraction,5,0.9887185185185187,0.0013574544608084514,0.0016855023331869598,0.9870330161853317,0.9904040208517056
300,centralized,post_warmup_idle_fraction,5,0.011281481481481448,0.0013574544608084514,0.0016855023331869598,0.009595979148294489,0.012966983814668407
300,centralized,post_warmup_navigating_fraction,5,0.39330740740740744,0.00860002621857743,0.010678342939216072,0.3826290644681914,0.4039857503466235
300,centralized,post_warmup_working_fraction,5,0.5954111111111111,0.008499444854985272,0.010553454681153445,0.5848576564299577,0.6059645657922645
300,centralized,tasks_active_end,5,702.4,50.09291367049834,62.198567469787086,640.2014325302129,764.5985674697871
300,centralized,tasks_active_end_per_robot,5,2.3413333333333335,0.16697637890166112,0.20732855823262356,2.13400477510071,2.548661891565957
300,centralized,throughput_tps,5,3.2291111111111115,0.08992246317086758,0.11165348514907038,3.1174576259620412,3.3407645962601817
300,distributed,agent_work_fraction_final,5,0.5411737777777779,0.006474212259098214,0.008038796278851727,0.5331349814989261,0.5492125740566296
300,distributed,arrival_completion_gap_tps,5,0.5222222222222224,0.02739739556875117,0.03401835972226573,0.4882038624999566,0.5562405819444881
